https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1637042400000,2021-11-16 06:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,4033664.00000000,4031798.35880000,1556
1637038800000,2021-11-16 05:00:00,USDC/USDT,0.99950000,0.99960000,0.99940000,0.99960000,6717282.00000000,6714104.07460000,1525
1637035200000,2021-11-16 04:00:00,USDC/USDT,0.99950000,0.99960000,0.99940000,0.99950000,7838928.00000000,7834780.96900000,1954
1637031600000,2021-11-16 03:00:00,USDC/USDT,0.99960000,0.99970000,0.99950000,0.99950000,9002613.00000000,8998975.18680000,2538
1637028000000,2021-11-16 02:00:00,USDC/USDT,0.99960000,0.99970000,0.99960000,0.99960000,6838674.00000000,6836030.85760000,2189
1637024400000,2021-11-16 01:00:00,USDC/USDT,0.99970000,0.99980000,0.99960000,0.99960000,12304360.00000000,12300571.20350000,3252
1637020800000,2021-11-16 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99970000,8767616.00000000,8765516.42650000,2318
1637017200000,2021-11-15 23:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,2208059.00000000,2207513.99660000,1080
1637013600000,2021-11-15 22:00:00,USDC/USDT,0.99960000,0.99980000,0.99960000,0.99980000,4213919.00000000,4212658.88640000,1816
1637010000000,2021-11-15 21:00:00,USDC/USDT,0.99990000,1.00000000,0.99960000,0.99960000,8749816.00000000,8748438.34490000,2691
1637006400000,2021-11-15 20:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,5173467.00000000,5173076.47880000,1654
1637002800000,2021-11-15 19:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,4925523.00000000,4925205.28320000,1420
1636999200000,2021-11-15 18:00:00,USDC/USDT,1.00020000,1.00020000,0.99990000,1.00000000,9626556.00000000,9626904.62390000,3188
1636995600000,2021-11-15 17:00:00,USDC/USDT,0.99980000,1.00020000,0.99970000,1.00010000,13085958.00000000,13086300.21030000,3294
1636992000000,2021-11-15 16:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99980000,4886637.00000000,4885482.26460000,1839
1636988400000,2021-11-15 15:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99980000,6895267.00000000,6893681.58140000,2040
1636984800000,2021-11-15 14:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99970000,6753964.00000000,6752321.63890000,2164
1636981200000,2021-11-15 13:00:00,USDC/USDT,1.00000000,1.00010000,0.99970000,0.99970000,14719828.00000000,14717701.62500000,2208
1636977600000,2021-11-15 12:00:00,USDC/USDT,0.99990000,1.00010000,0.99990000,1.00000000,9558425.00000000,9558124.88580000,2142
1636974000000,2021-11-15 11:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,6017749.00000000,6017334.71670000,1747
1636970400000,2021-11-15 10:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,7411635.00000000,7411028.58020000,3086
1636966800000,2021-11-15 09:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,5622181.00000000,5621711.91020000,2840
1636963200000,2021-11-15 08:00:00,USDC/USDT,0.99990000,1.00000000,0.99980000,0.99990000,11613188.00000000,11612571.18200000,3925
1636959600000,2021-11-15 07:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99990000,3988805.00000000,3988163.43930000,1567
1636956000000,2021-11-15 06:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,4829160.00000000,4828348.20320000,1316
1636952400000,2021-11-15 05:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,4298187.00000000,4297396.36260000,1119
1636948800000,2021-11-15 04:00:00,USDC/USDT,0.99980000,0.99990000,0.99970000,0.99980000,3960919.00000000,3960080.20140000,1061
1636945200000,2021-11-15 03:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,4247631.00000000,4246676.84450000,1059
1636941600000,2021-11-15 02:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,1622529.00000000,1622113.47000000,919
1636938000000,2021-11-15 01:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99980000,2057998.00000000,2057512.86880000,1085
1636934400000,2021-11-15 00:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,3580031.00000000,3579176.76800000,1486
1636930800000,2021-11-14 23:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,3109086.00000000,3108364.42750000,1101
